Name,Address,pincode,Taluk,Districtname,statename,Latitude,Longitude
BASH-P INTERNATIONAL,"2947+MW7, Infopark Campus, Infopark, Kakkanad, Kerala 682030, India",682030,Ernakulam,Ernakulam,KERALA,51.13351584878049,133.02442981463415
BELL FOODS,"Pallichal Rd, Valummel, Kochi, Kerala 682005, India",682005,Kochi,Ernakulam,KERALA,9.940253061111113,76.25960161388889
BETHANYA CASHEW COMPANY,"Mavady Post, Enathu Puthoor Rd, Kerala 691507, India",691507,Kottarakkara,Kollam,KERALA,9.043139252830189,76.7161006773585
BETHSAIDA CASHEW COMPANY,"Kollam Kerala, Kerala 691507, India",691507,Kottarakkara,Kollam,KERALA,9.043139252830189,76.7161006773585
BISMI TRADING COMPANY,"EEC Market, Market P.O, Vazhappily, Muvattupuzha, Kerala 686673, India",686673,Muvattupuzha,Ernakulam,KERALA,9.98582857409836,76.58100003016393
BISMILLAH AGRI COMMODITIES,"HMD BUILDING, 18/1640, Karicode, Koikkal, Kollam, Kerala 691004, India",691004,Kollam,Kollam,KERALA,8.904030673684211,76.62197661052632
BLASTLINE  INDIA,"48/2510D4, 2nd Floor, Blastline Corporate Chamber,Pottakuzhi Elamakkakara (PO, Perandoor Rd, Mamangalam, Kaloor, Ernakulam, Kochi, Kerala 682026, India",682026,Ernakulam,Ernakulam,KERALA,10.01621266875,76.288820209375
BLUEMOUNTAIN EXPORTERS,"14/486, East, Pandikudy, Chullickal, Kochi, Kerala 682001, India",682001,Kochi,Ernakulam,KERALA,9.961975513432836,76.24336774328359
BROS INDIA GROUP,"J9C6+WCC, Kayippuram, Muhamma, Kerala 688525, India",688525,Cherthala,Alappuzha,KERALA,9.619357622727271,76.35883995454545
BUSTHAN AL WATHANIYA,"P9V4+QVH, Pallipuram, Kerala 688541, India",688541,Cherthala,Alappuzha,KERALA,9.742432095238096,76.36193387142858
C.R.I.RUBBERS,"XI /799, VIJAYAPURAM, Vadavathoor, Kottayam, Kerala 686010, India",686010,Kottayam,Kottayam,KERALA,9.590680228,76.56449500800001
CARRIS PIPES,"P.B. No.2, Koovappady P.O, Akanad, Kerala 683544, India",683544,Kunnathunad,Ernakulam,KERALA,10.166672573758866,76.50774667872341
CAT COIR,"Coir park 1 Thiruvizha North Road, Post, Mayithara, Cherthala South, Kerala 688539, India",688539,Cherthala,Alappuzha,KERALA,9.66428288888889,76.34121377777778
CATHOLIC ART CENTRE,"Broadway, Church St, Marine Drive, Ernakulam, Kochi, Kerala 682031, India",682031,Ernakulam,Ernakulam,KERALA,9.99692354,76.27468644
CEAKAY INDUSTRIES,"Ponpuzha, Ithithanam Post, Changanacherry Near Saintgits college, Pathamuttom, Kottayam, Ithithanam, Kerala 686535, India",686535,Changanassery,Kottayam,KERALA,9.479609457894735,76.52609346315789
CHANDRA CASHEW FACTORY,"2PCC+JGV, Thevalapuram, Neduvathoor, Kerala 691507, India",691507,Kottarakkara,Kollam,KERALA,9.043139252830189,76.7161006773585
CHARANKATTU COIR MFG.CO.P.LTD.,"AS Road, J84M+GF5, Kanjikuzhy, Shertallay, Kerala 688524, India",688524,Cherthala,Alappuzha,KERALA,9.6891011625,76.33285069583334
CHARLY FISHERIES,"WGPV+RXG, Neendakara, Kollam, Kerala 691582, India",691582,Karunagapally,Kollam,KERALA,8.9475339,76.53934165
CHEMMEENS (REGD),"Chemmeens Junction,Karuvekipady, Kochi-682005, Karuvelipady, Kazhuthumuttu, Thoppumpady, Kochi, Kerala 682005, India",682005,Kochi,Ernakulam,KERALA,9.940253061111113,76.25960161388889
CHERUKATTU INDUSTRIES,"V8C7+3QX Cherukattu Industries, Aroor gram panchayat, Kochi, Kerala 688534, India",688534,Cherthla,Alappuzha,KERALA,9.871729377142858,76.30438504
CHETHANA PHARMACEUTICALS,"X6CJ+F69, Shanti Nagar, Perintalmanna, Kerala 679322, India",679322,Perinthalmanna,Malappuram,KERALA,10.977929251428572,76.22854857333334
CII GUARDIAN INTERNATIONAL LTD.,"16B, CSEZ, Kakkanad, Kerala 682037, India",682037,Ernakulam,Ernakulam,KERALA,9.997384706451612,76.34072476129032
CLAIRON FILTERS,"Plot. No.41, 37, CSEZ, Kakkanad, Kochi, Kakkanad, Kerala 682037, India",682037,Ernakulam,Ernakulam,KERALA,9.997384706451612,76.34072476129032
CLASSIC COIR FACTORY,"IV/833, MSP, Valavanad, Pollethai, Alappuzha, Kerala 688522, India",688522,Ambalapuzha,Alappuzha,KERALA,9.572168202777778,76.32190507222222
COCHIN CADALAS P.LTD.,"Kochi, Kerala, India",682024,Ernakulam,Ernakulam,KERALA,10.01888763298969,76.30253450412371
COCHIN CONDIMENTS P.LTD.,"Kochi, Kerala, India",682024,Ernakulam,Ernakulam,KERALA,10.01888763298969,76.30253450412371
COCHIN COSMOS FOODS LTD.,"Kochi, Kerala, India",682024,Ernakulam,Ernakulam,KERALA,10.01888763298969,76.30253450412371
COCHIN DIES AND MOULDS,"Kochi, Kerala, India",682024,Ernakulam,Ernakulam,KERALA,10.01888763298969,76.30253450412371
COCHIN FROZEN FOOD EXPORTS P. LTD.,"Kochi, Kerala, India",682024,Ernakulam,Ernakulam,KERALA,10.01888763298969,76.30253450412371
COCHIN RECLAIM & RUBBER,"Kochi, Kerala, India",682024,Ernakulam,Ernakulam,KERALA,10.01888763298969,76.30253450412371
COCHIN RUBBER INDUSTRIES,"Kochi, Kerala, India",682024,Ernakulam,Ernakulam,KERALA,10.01888763298969,76.30253450412371
COCHIN TRADING,"Kochi, Kerala, India",682024,Ernakulam,Ernakulam,KERALA,10.01888763298969,76.30253450412371
KOCHI IMPEX,"Kochi, Kerala, India",682024,Ernakulam,Ernakulam,KERALA,10.01888763298969,76.30253450412371
KOCHI BENNALE,"Kochi, Kerala, India",682024,Ernakulam,Ernakulam,KERALA,10.01888763298969,76.30253450412371
COCHIN CHEMICALS & RUBBER PRODUCTS,"Kochi, Kerala, India",682024,Ernakulam,Ernakulam,KERALA,10.01888763298969,76.30253450412371
COCHIN PACKERS,"Kochi, Kerala, India",682024,Ernakulam,Ernakulam,KERALA,10.01888763298969,76.30253450412371
"COCHIN FOOD TECH P. LTD,","Kochi, Kerala, India",682024,Ernakulam,Ernakulam,KERALA,10.01888763298969,76.30253450412371
COCHIN CADALAS P.LTD.,"Kochi, Kerala, India",682002,Kochi,Ernakulam,KERALA,9.957255232894736,76.25402236842105
COCHIN CONDIMENTS P.LTD.,"Kochi, Kerala, India",682002,Kochi,Ernakulam,KERALA,9.957255232894736,76.25402236842105
COCHIN COSMOS FOODS LTD.,"Kochi, Kerala, India",682002,Kochi,Ernakulam,KERALA,9.957255232894736,76.25402236842105
COCHIN DIES AND MOULDS,"Kochi, Kerala, India",682002,Kochi,Ernakulam,KERALA,9.957255232894736,76.25402236842105
COCHIN FROZEN FOOD EXPORTS P. LTD.,"Kochi, Kerala, India",682002,Kochi,Ernakulam,KERALA,9.957255232894736,76.25402236842105
COCHIN RECLAIM & RUBBER,"Kochi, Kerala, India",682002,Kochi,Ernakulam,KERALA,9.957255232894736,76.25402236842105
COCHIN RUBBER INDUSTRIES,"Kochi, Kerala, India",682002,Kochi,Ernakulam,KERALA,9.957255232894736,76.25402236842105
COCHIN TRADING,"Kochi, Kerala, India",682002,Kochi,Ernakulam,KERALA,9.957255232894736,76.25402236842105
KOCHI IMPEX,"Kochi, Kerala, India",682002,Kochi,Ernakulam,KERALA,9.957255232894736,76.25402236842105
KOCHI BENNALE,"Kochi, Kerala, India",682002,Kochi,Ernakulam,KERALA,9.957255232894736,76.25402236842105
COCHIN CHEMICALS & RUBBER PRODUCTS,"Kochi, Kerala, India",682002,Kochi,Ernakulam,KERALA,9.957255232894736,76.25402236842105
COCHIN PACKERS,"Kochi, Kerala, India",682002,Kochi,Ernakulam,KERALA,9.957255232894736,76.25402236842105
"COCHIN FOOD TECH P. LTD,","Kochi, Kerala, India",682002,Kochi,Ernakulam,KERALA,9.957255232894736,76.25402236842105
COCHIN CADALAS P.LTD.,"Kochi, Kerala, India",688524,Cherthala,Alappuzha,KERALA,9.6891011625,76.33285069583334
COCHIN CONDIMENTS P.LTD.,"Kochi, Kerala, India",688524,Cherthala,Alappuzha,KERALA,9.6891011625,76.33285069583334
COCHIN COSMOS FOODS LTD.,"Kochi, Kerala, India",688524,Cherthala,Alappuzha,KERALA,9.6891011625,76.33285069583334
COCHIN DIES AND MOULDS,"Kochi, Kerala, India",688524,Cherthala,Alappuzha,KERALA,9.6891011625,76.33285069583334
COCHIN FROZEN FOOD EXPORTS P. LTD.,"Kochi, Kerala, India",688524,Cherthala,Alappuzha,KERALA,9.6891011625,76.33285069583334
COCHIN RECLAIM & RUBBER,"Kochi, Kerala, India",688524,Cherthala,Alappuzha,KERALA,9.6891011625,76.33285069583334
COCHIN RUBBER INDUSTRIES,"Kochi, Kerala, India",688524,Cherthala,Alappuzha,KERALA,9.6891011625,76.33285069583334
COCHIN TRADING,"Kochi, Kerala, India",688524,Cherthala,Alappuzha,KERALA,9.6891011625,76.33285069583334
KOCHI IMPEX,"Kochi, Kerala, India",688524,Cherthala,Alappuzha,KERALA,9.6891011625,76.33285069583334
KOCHI BENNALE,"Kochi, Kerala, India",688524,Cherthala,Alappuzha,KERALA,9.6891011625,76.33285069583334
COCHIN CHEMICALS & RUBBER PRODUCTS,"Kochi, Kerala, India",688524,Cherthala,Alappuzha,KERALA,9.6891011625,76.33285069583334
COCHIN PACKERS,"Kochi, Kerala, India",688524,Cherthala,Alappuzha,KERALA,9.6891011625,76.33285069583334
"COCHIN FOOD TECH P. LTD,","Kochi, Kerala, India",688524,Cherthala,Alappuzha,KERALA,9.6891011625,76.33285069583334
COCHIN EXPORTS,"Federal Park, Vennala, Ernakulam, Kochi, Kerala 682028, India",682028,Ernakulam,Ernakulam,KERALA,9.99670085,76.32102778
COCHIN EXPORTS  ,"Federal Park, Vennala, Ernakulam, Kochi, Kerala 682028, India",682028,Ernakulam,Ernakulam,KERALA,9.99670085,76.32102778
COCHIN CADALAS P.LTD.,"Kochi, Kerala, India",688534,Cherthla,Alappuzha,KERALA,9.871729377142858,76.30438504
COCHIN CONDIMENTS P.LTD.,"Kochi, Kerala, India",688534,Cherthla,Alappuzha,KERALA,9.871729377142858,76.30438504
COCHIN COSMOS FOODS LTD.,"Kochi, Kerala, India",688534,Cherthla,Alappuzha,KERALA,9.871729377142858,76.30438504
COCHIN DIES AND MOULDS,"Kochi, Kerala, India",688534,Cherthla,Alappuzha,KERALA,9.871729377142858,76.30438504
COCHIN FROZEN FOOD EXPORTS P. LTD.,"Kochi, Kerala, India",688534,Cherthla,Alappuzha,KERALA,9.871729377142858,76.30438504
COCHIN RECLAIM & RUBBER,"Kochi, Kerala, India",688534,Cherthla,Alappuzha,KERALA,9.871729377142858,76.30438504
COCHIN RUBBER INDUSTRIES,"Kochi, Kerala, India",688534,Cherthla,Alappuzha,KERALA,9.871729377142858,76.30438504
COCHIN TRADING,"Kochi, Kerala, India",688534,Cherthla,Alappuzha,KERALA,9.871729377142858,76.30438504
KOCHI IMPEX,"Kochi, Kerala, India",688534,Cherthla,Alappuzha,KERALA,9.871729377142858,76.30438504
KOCHI BENNALE,"Kochi, Kerala, India",688534,Cherthla,Alappuzha,KERALA,9.871729377142858,76.30438504
COCHIN CHEMICALS & RUBBER PRODUCTS,"Kochi, Kerala, India",688534,Cherthla,Alappuzha,KERALA,9.871729377142858,76.30438504
COCHIN PACKERS,"Kochi, Kerala, India",688534,Cherthla,Alappuzha,KERALA,9.871729377142858,76.30438504
"COCHIN FOOD TECH P. LTD,","Kochi, Kerala, India",688534,Cherthla,Alappuzha,KERALA,9.871729377142858,76.30438504
COCHIN MINERALS AND RUTILE LTD.,"Poorna Nagar Park,, 4952+GWW, Periyar Nagar, Aluva, Kerala 683101, India",683101,Aluva,Ernakulam,KERALA,10.095680780412373,76.36233782061856
COCHIN SURFACTANTS P.LTD.,"PLOT no 63, Edayar, Kerala 683502, India",683502,Paravur,Ernakulam,KERALA,10.087692555555556,76.30506273333334
COCHIN TRADERS COCHIN,"20/46B, Near I.O.C Petrol Pump, Palluruthy Veli, Aroor - Thoppumpady Rd, Palluruthy, Kochi, Kerala 682006, India",682006,Kochi,Ernakulam,KERALA,9.917652551851852,76.27326455925926
COCO  FIBRE TEX,"G83H+F9Q, Aarattuvazhi, Kanjiramchira, Aryad South, Alappuzha, Kerala 688007, India",688007,Ambalapuzh A,Alappuzha,KERALA,9.510326070833331,76.3268778625
COIMBATORE POTTERIES & REFRACTORIES,"Coimbatore, Tamil Nadu, India",682024,Ernakulam,Ernakulam,KERALA,10.01888763298969,76.30253450412371
2F WIND POWER COIMBATORE PVT LTD,"Coimbatore, Tamil Nadu, India",682024,Ernakulam,Ernakulam,KERALA,10.01888763298969,76.30253450412371
COIMBATORE SUPER ALLOYS P.LTD.,"Coimbatore, Tamil Nadu, India",682024,Ernakulam,Ernakulam,KERALA,10.01888763298969,76.30253450412371
MIRACLE RECLAIM RUBBER COIMBATORE P.LTD.,"Coimbatore, Tamil Nadu, India",682024,Ernakulam,Ernakulam,KERALA,10.01888763298969,76.30253450412371
COIMBATORE COTS & COATINGS LTD.,"Coimbatore, Tamil Nadu, India",682024,Ernakulam,Ernakulam,KERALA,10.01888763298969,76.30253450412371
COIMBATORE POLYTEX,"Coimbatore, Tamil Nadu, India",682024,Ernakulam,Ernakulam,KERALA,10.01888763298969,76.30253450412371
COIR FLEX,"Building No.X11, Pattanakkad, Cherthala, Pattanakkad, Kerala 688531, India",688531,Cherthala,Alappuzha,KERALA,9.725622914130437,76.31563821847826
COIR FLOOR FURNISHING CO.,"Kalyan Villa, Vellakinar Rd, Vellakkinar, Alappuzha, Kerala 688001, India",688001,Ambalapuzha,Alappuzha,KERALA,9.49638391904762,76.33209264761905
COIR MATES INDIA,"TP-12/498K, Varanad PO, Cherthala, Pin: 688539, Alappuzha, Cherthala, Kerala 688524, India",688539,Cherthala,Alappuzha,KERALA,9.66428288888889,76.34121377777778
COMET EXPORTS,"J88R+699, Kanjikuzhy, Kanjikkuzhi, Kerala 688525, India",688525,Cherthala,Alappuzha,KERALA,9.619357622727271,76.35883995454545
CONSOLIDATED WOOD INDUSTRIES,"Chingavanam, Kerala 686007, India",686007,Kottayam,Kottayam,KERALA,9.531553366666667,76.5150448
COONOOR TEA ESTATES CO. LTD.,"Coonoor, Tamil Nadu, India",682002,Kochi,Ernakulam,KERALA,9.957255232894736,76.25402236842105
COVEMA FILAMENTS LTD.,"14-B, CSEZ, Kakkanad, Kerala 682037, India",682037,Ernakulam,Ernakulam,KERALA,9.997384706451612,76.34072476129032
CRAFT INDIA FOOTWEAR CALICUT,"Kozhikode, Kerala, India",682024,Ernakulam,Ernakulam,KERALA,10.01888763298969,76.30253450412371
CRESCENT INTERNATIONAL TYRE TREADS,"9/22 HA IDA, Nalam Mile, ALUVA, Kerala 683112, India",683112,Kunnathunad,Ernakulam,KERALA,10.08974094375,76.39621829375
CROSSINGS INTERNATIONAL DISTRIBUTION,"682037, CSEZ, Kochi, Kakkanad, Kerala 682037, India",682037,Ernakulam,Ernakulam,KERALA,9.997384706451612,76.34072476129032
D.C. MILLS,"Valavanadu, Kalavoor P.O., Kanjikuzhy, Ward 1, Alappuzha, Kerala 688522, India",688522,Ambalapuzha,Alappuzha,KERALA,9.572168202777778,76.32190507222222
DEEPA AGENCIES,"39/1384 Four Star Buildings Chittoor Road Valanjambalam, Ernakulam South, Kochi, Kerala 682016, India",682016,Ernakulam,Ernakulam,KERALA,9.965396735294116,76.28713604901961
DELSEA EXPORTS P.LTD.,"Nambiapuram, Palluruthy, Kochi, Kerala 682006, India",682006,Kochi,Ernakulam,KERALA,9.917652551851852,76.27326455925926
DEVICOLAM DISTILLERIES LTD,"Parakkamugal Infopark Rd, Infopark Campus, Kochi, Kakkanad, Kerala 682030, India",682030,Ernakulam,Ernakulam,KERALA,51.13351584878049,133.02442981463415
DOLPHIN RUBBER INDUSTRIES,"Industrial Development Plot, Poovanthuruthu, Kottayam, Kerala 686012, India",686012,Kottayam,Kottayam,KERALA,9.54856711111111,76.52230786666667
DREAMS EXPORTS,"7G3C+5GX, Thattarambalam, Mavelikara, Kannamangalam North, Kerala 690103, India",690103,Mavelikkara,Alappuzha,KERALA,9.250708,76.51850396153846
DUSTAN WOOD,"Kurichy, Thuruthy, Kerala 686532, India",686532,Changanassery,Kottayam,KERALA,9.502805928070176,76.51869062982456
DYNAMIC TECHNO MEDICALS PVT. LTD.,"Kodikuthimala, Ashokapuram, Edathala, Aluva, Kerala 683101, India",683101,Aluva,Ernakulam,KERALA,10.095680780412373,76.36233782061856
EASTERN RUG MILLS,"CCSB Rd, Civil Station Ward, Alappuzha, Kerala 688001, India",688001,Ambalapuzha,Alappuzha,KERALA,9.49638391904762,76.33209264761905
EGATE INTERNATIONAL,"Lane 1, VRWA, near State Bank of India, Vyttila, Ernakulam, Kochi, Kerala 682019, India",682019,Ernakulam,Ernakulam,KERALA,9.96996995974026,76.31541058961038
EMMANUEL CASHEW INDUSTRIES,"WRP4+F59, Konnathu Mukku - Mathayi Mukku Rd, Chepra, Kerala 691520, India",691520,Kottarakkara,Kollam,KERALA,8.947908536734694,76.79522364897959
ENGINEERED  ELASTOMER SOLUTIONS CO.,"SDF 16A, IVth Floor, CSEZ, Kakkanad, Kochi, Kakkanad, Kerala 682037, India",682037,Ernakulam,Ernakulam,KERALA,9.997384706451612,76.34072476129032
ESCON CHEMICAL COMPANY,"423 A South vellarapilly, po, Kochi, Thekkumbhagom, Kerala 683580, India",683580,Aluva,Ernakulam,KERALA,10.13932176153846,76.40794163846154
ESMARIO EXPORT ENTERPRISES,"WHH6+WJW, Kavanad, Sakthikulangara North, Kollam, Kerala 691003, India",691003,Kollam,Kollam,KERALA,8.915929604166667,76.55627739166667
EVEREST WOOD INDUSTRIES,"Xix/318 Kanjirakkadu, Rayonpuram P.O, Perumbavoor Kochi- 683543, Kerala, Ernakulam, Perumbavoor, Kerala 683543, India",683543,Kunnathunad,Ernakulam,KERALA,10.1228594125,76.48358803125
EVERGREEN EXPORTS,"Willingdon Island, Kochi, Kerala 682003, India",682003,Kochi,Ernakulam,KERALA,9.960447846153846,76.27093469230769
EXCEL LEATHERS,"Near KSEB, 68/1637A, Mariakutty John Rd, near Power House Road, Power House Junction, Kacheripady, Kochi, Kerala 682018, India",682018,Ernakulam,Ernakulam,KERALA,9.991596463636364,76.28133009181818
F.G.TRADING COMPANY,"Room No:40/5476, First Floor,Ruquia Chamber, TD Rd, Padma Junction, Pullepady, Kochi, Kerala 682035, India",682035,Ernakulam,Ernakulam,KERALA,9.979283159183671,76.28271734081633
FAVOUR-ITA INTERNATIONAL,"Door No. XI/408, NH-66, Cheriakadavu, Kannamaly, Cheriakadavu, Kannamaly, Kochi, Kerala 682008, India",682008,Kochi,Ernakulam,KERALA,9.869597658064515,76.26596289354838
FCI OEN CONNECTORS LTD.,"29/2089 State Highway 15 Tripunithura, Road, Thykoodam, Vyttila, Kochi, Kerala 682019, India",682019,Ernakulam,Ernakulam,KERALA,9.96996995974026,76.31541058961038
FEBIN MARINE FOODS,"Eramalloor,, Chandiroor, Alappuzha, Kerala 688537, India",688537,Cherthala,Alappuzha,KERALA,9.82172572,76.30522974
R.F. EXPORTS,"Eramalloor,, Chandiroor, Alappuzha, Kerala 688537, India",688537,Cherthala,Alappuzha,KERALA,9.82172572,76.30522974
FIBER WONDERS,"M899+27Q Perumpara Juction, Po, Kuruppan Kulangara, Cherthala, Cherthala South, Kerala 688539, India",688539,Cherthala,Alappuzha,KERALA,9.66428288888889,76.34121377777778
